asset_tag,serial_number,site,business_service,owner_team,lifecycle_state,vendor,model,category,purchase_date,installed_date,warranty_end
SGP-EDGE-SWI-2894,SRL-6F010151,SGP-EDGE,Security Monitoring,Platform Engineering,RMA Pending,Cisco,Nexus 93180YC-FX3,Switch,2023-11-22,2023-11-21,2028-11-22
LON-DC1-FIR-2895,SRL-6D58966B,LON-DC1,ERP Core,Platform Engineering,In Service,Fortinet,FortiGate 200F,Firewall,2021-12-03,2022-02-04,2026-12-03
MEL-DR-SWI-2896,SRL-8948E786,MEL-DR,Analytics Platform,Cloud Ops,Lab,Arista,7050X3-48C,Switch,2022-07-14,2022-07-12,2026-07-14
SFO-DC2-STO-2897,SRL-09B77986,SFO-DC2,Analytics Platform,Infra Ops,RMA Pending,NetApp,FAS2750,Storage,2021-01-12,2021-02-21,2024-01-12
SFO-DC2-STO-2898,SRL-C4F8BDDE,SFO-DC2,Email & Collaboration,Network Team,RMA Pending,NetApp,AFF A400,Storage,2019-01-05,2019-02-04,2023-01-05
FRA-DC3-FIR-2899,SRL-BC98EA90,FRA-DC3,Voice Core,Network Team,Spare,Palo Alto Networks,PA-5220,Firewall,2023-07-02,2023-08-24,2026-07-02
DAL-DC2-FIR-2900,SRL-03EB6BE6,DAL-DC2,Analytics Platform,Network Team,Decommission Planned,Palo Alto Networks,PA-5220,Firewall,2018-07-27,2018-07-10,2022-07-27
SYD-DC1-SWI-2901,SRL-30124047,SYD-DC1,Customer Portal,Data Center Ops,Retiring,Cisco,Catalyst 9606R,Switch,2021-05-27,2021-05-10,2026-05-27
FRA-DC3-SWI-2902,SRL-C0BBCE6B,FRA-DC3,Retail POS,Network Team,In Service,HPE,Aruba 8400,Switch,2015-10-04,2015-11-05,2018-10-04
LON-DC1-SER-2903,SRL-CDD86771,LON-DC1,Online Payments,Security Team,Lab,Dell,PowerEdge R650,Server,2015-10-09,2015-11-04,2018-10-09
LON-DC1-SWI-2904,SRL-65D9BA30,LON-DC1,Voice Core,Infra Ops,Retiring,Arista,7280R3-48YC6,Switch,2020-04-28,2020-04-24,2025-04-28
SFO-DC2-STO-2905,SRL-6AB32D11,SFO-DC2,Email & Collaboration,Network Team,In Service,Dell,PowerStore 500,Storage,2023-07-02,2023-07-01,2027-07-02
MEL-DR-FIR-2906,SRL-9E5B19D3,MEL-DR,Voice Core,Infra Ops,RMA Pending,Fortinet,FortiGate 100E,Firewall,2019-05-21,2019-07-18,2022-05-21
SYD-DC1-STO-2907,SRL-AB3BACA2,SYD-DC1,IoT Gateway,Infra Ops,RMA Pending,NetApp,AFF A400,Storage,2019-12-10,2020-01-04,2022-12-10
FRA-DC3-SWI-2908,SRL-FC3B4D65,FRA-DC3,ERP Core,Network Team,Retiring,Cisco,Catalyst 9300-48P,Switch,2023-02-23,2023-04-15,2028-02-23
DAL-DC2-SER-2909,SRL-52BDF341,DAL-DC2,IoT Gateway,Data Center Ops,Lab,Supermicro,SYS-220U-TNR,Server,2018-05-27,2018-06-15,2022-05-27
DAL-DC2-STO-2910,SRL-C67CB029,DAL-DC2,Email & Collaboration,Security Team,Spare,Dell,PowerStore 500,Storage,2020-03-04,2020-05-17,2025-03-04
AMS-HQ-SWI-2911,SRL-05720243,AMS-HQ,Online Payments,Infra Ops,RMA Pending,Arista,7050X3-48C,Switch,2021-01-08,2021-03-10,2024-01-08
DAL-DC2-SWI-2912,SRL-3645C4F3,DAL-DC2,Customer Portal,Infra Ops,Retiring,Arista,7050X3-48C,Switch,2015-08-01,2015-09-18,2019-08-01
SFO-DC2-SER-2913,SRL-90DBC6FB,SFO-DC2,Email & Collaboration,Platform Engineering,In Service,Dell,PowerEdge R650,Server,2018-06-26,2018-06-16,2022-06-26
FRA-DC3-FIR-2914,SRL-54FA2F8F,FRA-DC3,IoT Gateway,Network Team,In Service,Palo Alto Networks,PA-3220,Firewall,2018-11-01,2018-11-19,2022-11-01
LON-DC1-SER-2915,SRL-51FA5E28,LON-DC1,ERP Core,Platform Engineering,Decommission Planned,Dell,PowerEdge R740,Server,2020-07-02,2020-08-26,2025-07-02
AMS-HQ-SER-2916,SRL-89A83B13,AMS-HQ,Retail POS,Network Team,Lab,Dell,PowerEdge R650,Server,2017-05-10,2017-05-01,2020-05-10
LON-DC1-SWI-2917,SRL-30DAB455,LON-DC1,Retail POS,Infra Ops,Lab,Arista,7280R3-48YC6,Switch,2019-01-23,2019-02-23,2023-01-23
MEL-DR-FIR-2918,SRL-4D8B917A,MEL-DR,Analytics Platform,Network Team,RMA Pending,Fortinet,FortiGate 100E,Firewall,2022-10-02,2022-11-22,2027-10-02
AMS-HQ-SWI-2919,SRL-8C2021D4,AMS-HQ,ERP Core,Cloud Ops,RMA Pending,Cisco,Catalyst 9606R,Switch,2023-11-19,2024-01-09,2027-11-19
DAL-DC2-STO-2920,SRL-C8A962B5,DAL-DC2,Security Monitoring,Data Center Ops,Decommission Planned,NetApp,FAS2750,Storage,2018-07-11,2018-08-12,2021-07-11
FRA-DC3-STO-2921,SRL-9B168533,FRA-DC3,Analytics Platform,Security Team,Lab,Dell,PowerStore 500,Storage,2022-05-21,2022-07-14,2026-05-21
DAL-DC2-SWI-2922,SRL-88B6AB97,DAL-DC2,Manufacturing SCADA,Network Team,Lab,Arista,7280R3-48YC6,Switch,2015-03-08,2015-05-19,2019-03-08
NYC-HQ-SWI-2923,SRL-62DA285F,NYC-HQ,Manufacturing SCADA,Infra Ops,Spare,Cisco,Catalyst 9300-48P,Switch,2016-10-06,2016-11-06,2019-10-06
TOR-DC1-SWI-2924,SRL-6B2F6E01,TOR-DC1,IoT Gateway,Platform Engineering,Decommission Planned,Juniper,QFX5120-48Y,Switch,2018-04-28,2018-04-28,2023-04-28
TOR-DC1-SER-2925,SRL-946B2923,TOR-DC1,Voice Core,Security Team,RMA Pending,Dell,PowerEdge R650,Server,2018-10-28,2018-12-01,2022-10-28
SGP-EDGE-SER-2926,SRL-EF691B1B,SGP-EDGE,Online Payments,Security Team,Retiring,Dell,PowerEdge R650,Server,2020-04-25,2020-05-25,2024-04-25
AMS-HQ-SER-2927,SRL-2FECC18D,AMS-HQ,Email & Collaboration,Cloud Ops,Retiring,HPE,ProLiant DL380 Gen10,Server,2019-03-15,2019-05-25,2022-03-15
TOR-DC1-STO-2928,SRL-754FBC4A,TOR-DC1,Customer Portal,Security Team,RMA Pending,NetApp,AFF A400,Storage,2020-11-05,2020-11-20,2023-11-05
LON-DC1-SER-2929,SRL-6E6950B3,LON-DC1,Customer Portal,Network Team,Retiring,Dell,PowerEdge R740,Server,2019-12-01,2019-12-19,2023-12-01
TOR-DC1-SER-2930,SRL-990B4734,TOR-DC1,Analytics Platform,Security Team,Spare,Supermicro,SYS-220U-TNR,Server,2019-05-05,2019-06-12,2023-05-05
AMS-HQ-SER-2931,SRL-EF8FEAFD,AMS-HQ,ERP Core,Cloud Ops,Retiring,Supermicro,SYS-220U-TNR,Server,2017-10-01,2017-12-12,2021-10-01
MEL-DR-FIR-2932,SRL-711862C7,MEL-DR,ERP Core,Infra Ops,Lab,Fortinet,FortiGate 100E,Firewall,2017-07-02,2017-09-08,2021-07-02
DAL-DC2-STO-2933,SRL-0DF8F26F,DAL-DC2,Retail POS,Data Center Ops,Retiring,Dell,PowerStore 500,Storage,2016-04-18,2016-05-26,2019-04-18
SYD-DC1-FIR-2934,SRL-8F6DED89,SYD-DC1,Online Payments,Data Center Ops,Decommission Planned,Fortinet,FortiGate 200F,Firewall,2018-04-22,2018-04-23,2021-04-22
DAL-DC2-SWI-2935,SRL-9FF545BC,DAL-DC2,Customer Portal,Security Team,Decommission Planned,Arista,7280R3-48YC6,Switch,2022-08-07,2022-09-13,2025-08-07
DAL-DC2-FIR-2936,SRL-7EED154E,DAL-DC2,Manufacturing SCADA,Data Center Ops,In Service,Palo Alto Networks,PA-5220,Firewall,2021-05-24,2021-07-07,2024-05-24
AMS-HQ-FIR-2937,SRL-A8E864EA,AMS-HQ,Online Payments,Security Team,Retiring,Palo Alto Networks,PA-3220,Firewall,2015-04-13,2015-04-27,2019-04-13
TOR-DC1-SER-2938,SRL-4A166C11,TOR-DC1,IoT Gateway,Security Team,Retiring,Supermicro,SYS-220U-TNR,Server,2019-03-21,2019-04-09,2022-03-21
SYD-DC1-SWI-2939,SRL-9F716055,SYD-DC1,Voice Core,Data Center Ops,Lab,Cisco,Nexus 93180YC-FX3,Switch,2017-08-09,2017-08-21,2022-08-09
DAL-DC2-SER-2940,SRL-D6859D20,DAL-DC2,Voice Core,Infra Ops,Retiring,HPE,ProLiant DL380 Gen10,Server,2021-08-14,2021-08-13,2025-08-14
TOR-DC1-SWI-2941,SRL-DFC44764,TOR-DC1,Online Payments,Platform Engineering,Spare,Cisco,Catalyst 9300-48P,Switch,2015-04-23,2015-06-24,2018-04-23
FRA-DC3-ROU-2942,SRL-C10E6A23,FRA-DC3,IoT Gateway,Data Center Ops,Decommission Planned,Juniper,MX204,Router,2021-12-03,2022-01-19,2026-12-03
AMS-HQ-SER-2943,SRL-CB668FAC,AMS-HQ,Security Monitoring,Infra Ops,Retiring,Lenovo,ThinkSystem SR650,Server,2018-02-17,2018-03-24,2023-02-17
TOR-DC1-STO-2944,SRL-046727EA,TOR-DC1,Voice Core,Data Center Ops,Retiring,NetApp,AFF A400,Storage,2019-10-26,2019-10-17,2023-10-26
TOR-DC1-STO-2945,SRL-C641CCE0,TOR-DC1,Manufacturing SCADA,Platform Engineering,In Service,NetApp,FAS2750,Storage,2020-06-01,2020-07-17,2025-06-01
LON-DC1-FIR-2946,SRL-094AE942,LON-DC1,Customer Portal,Platform Engineering,Decommission Planned,Fortinet,FortiGate 200F,Firewall,2018-03-05,2018-04-13,2023-03-05
SGP-EDGE-SER-2947,SRL-AE993B35,SGP-EDGE,Email & Collaboration,Network Team,Spare,Dell,PowerEdge R740,Server,2017-12-18,2018-02-14,2022-12-18
FRA-DC3-FIR-2948,SRL-9EE90D2A,FRA-DC3,ERP Core,Data Center Ops,In Service,Fortinet,FortiGate 100E,Firewall,2019-09-11,2019-10-20,2023-09-11
SYD-DC1-SER-2949,SRL-F175B0E6,SYD-DC1,Online Payments,Data Center Ops,In Service,HPE,ProLiant DL380 Gen10,Server,2022-07-24,2022-08-24,2025-07-24
LON-DC1-FIR-2950,SRL-6D39A975,LON-DC1,Retail POS,Cloud Ops,RMA Pending,Fortinet,FortiGate 200F,Firewall,2022-05-06,2022-06-06,2026-05-06
DAL-DC2-SER-2951,SRL-624573B3,DAL-DC2,Voice Core,Data Center Ops,Retiring,Lenovo,ThinkSystem SR650,Server,2016-09-25,2016-11-11,2021-09-25
SFO-DC2-SER-2952,SRL-6A436066,SFO-DC2,Customer Portal,Security Team,Decommission Planned,Supermicro,SYS-220U-TNR,Server,2023-11-16,2023-11-05,2027-11-16
FRA-DC3-SER-2953,SRL-DD024ABE,FRA-DC3,Security Monitoring,Network Team,Decommission Planned,Supermicro,SYS-220U-TNR,Server,2015-07-23,2015-07-14,2020-07-23
LON-DC1-FIR-2954,SRL-D9E1390B,LON-DC1,Security Monitoring,Cloud Ops,RMA Pending,Palo Alto Networks,PA-3220,Firewall,2021-05-15,2021-07-10,2026-05-15
FRA-DC3-FIR-2955,SRL-40947BAA,FRA-DC3,Security Monitoring,Platform Engineering,In Service,Fortinet,FortiGate 100E,Firewall,2023-07-22,2023-09-28,2028-07-22
SGP-EDGE-STO-2956,SRL-23251266,SGP-EDGE,Retail POS,Platform Engineering,Spare,NetApp,AFF A400,Storage,2018-01-28,2018-03-01,2022-01-28
SFO-DC2-SWI-2957,SRL-E86B3195,SFO-DC2,Analytics Platform,Platform Engineering,In Service,Cisco,Nexus 93180YC-FX3,Switch,2023-01-19,2023-01-19,2027-01-19
NYC-HQ-SWI-2958,SRL-B4377E2B,NYC-HQ,Email & Collaboration,Platform Engineering,Spare,Cisco,Catalyst 9300-48P,Switch,2016-07-11,2016-08-08,2020-07-11
AMS-HQ-FIR-2959,SRL-29C44E35,AMS-HQ,Manufacturing SCADA,Platform Engineering,Lab,Fortinet,FortiGate 100E,Firewall,2022-11-17,2023-01-18,2026-11-17
MEL-DR-SER-2960,SRL-0A435B89,MEL-DR,IoT Gateway,Platform Engineering,Lab,Dell,PowerEdge R740,Server,2017-05-16,2017-07-21,2021-05-16
SYD-DC1-SER-2961,SRL-A312B8C4,SYD-DC1,Online Payments,Network Team,Decommission Planned,Supermicro,SYS-220U-TNR,Server,2022-06-17,2022-08-20,2027-06-17
SFO-DC2-FIR-2962,SRL-8E39BE8B,SFO-DC2,Security Monitoring,Data Center Ops,In Service,Palo Alto Networks,PA-3220,Firewall,2016-07-13,2016-08-10,2020-07-13
MEL-DR-ROU-2963,SRL-AFF2ABB7,MEL-DR,ERP Core,Security Team,Spare,Juniper,MX204,Router,2019-05-03,2019-07-18,2024-05-03
TOR-DC1-SER-2964,SRL-5D82DCA9,TOR-DC1,Voice Core,Infra Ops,In Service,Dell,PowerEdge R650,Server,2018-04-17,2018-06-19,2023-04-17
DAL-DC2-FIR-2965,SRL-D46BA56C,DAL-DC2,Online Payments,Cloud Ops,Spare,Fortinet,FortiGate 100E,Firewall,2022-01-24,2022-01-14,2026-01-24
SYD-DC1-SWI-2966,SRL-2F22C5A5,SYD-DC1,Analytics Platform,Platform Engineering,Spare,Cisco,Nexus 93180YC-FX3,Switch,2019-05-05,2019-06-12,2024-05-05
DAL-DC2-FIR-2967,SRL-E50CE4C5,DAL-DC2,Online Payments,Security Team,In Service,Fortinet,FortiGate 100E,Firewall,2015-09-20,2015-11-10,2018-09-20
SYD-DC1-SWI-2968,SRL-0EC20F0B,SYD-DC1,Retail POS,Infra Ops,RMA Pending,Cisco,Catalyst 9606R,Switch,2018-05-22,2018-07-18,2021-05-22
TOR-DC1-STO-2969,SRL-4B2DCF09,TOR-DC1,Email & Collaboration,Data Center Ops,In Service,Dell,PowerStore 500,Storage,2022-10-16,2022-12-11,2026-10-16
SFO-DC2-STO-2970,SRL-B073F6A5,SFO-DC2,Security Monitoring,Infra Ops,Spare,NetApp,AFF A400,Storage,2019-02-07,2019-03-05,2023-02-07
TOR-DC1-FIR-2971,SRL-B03109C5,TOR-DC1,Security Monitoring,Cloud Ops,In Service,Fortinet,FortiGate 200F,Firewall,2020-01-15,2020-02-21,2024-01-15
DAL-DC2-SWI-2972,SRL-769CBB4C,DAL-DC2,Voice Core,Infra Ops,Retiring,Cisco,Catalyst 9300-48P,Switch,2020-08-21,2020-09-01,2025-08-21
SGP-EDGE-STO-2973,SRL-717249E6,SGP-EDGE,Online Payments,Infra Ops,Retiring,NetApp,AFF A400,Storage,2015-03-22,2015-05-27,2018-03-22
SFO-DC2-SER-2974,SRL-27B9DE86,SFO-DC2,Retail POS,Infra Ops,Lab,Dell,PowerEdge R650,Server,2015-04-03,2015-05-28,2020-04-03
TOR-DC1-ROU-2975,SRL-B6A4D036,TOR-DC1,Customer Portal,Infra Ops,Retiring,Juniper,MX204,Router,2015-08-07,2015-09-26,2018-08-07
SYD-DC1-SWI-2976,SRL-5D7482DA,SYD-DC1,Analytics Platform,Network Team,Retiring,Arista,7280R3-48YC6,Switch,2022-08-10,2022-10-28,2026-08-10
AMS-HQ-SER-2977,SRL-6E8EDBD1,AMS-HQ,IoT Gateway,Cloud Ops,Lab,Dell,PowerEdge R740,Server,2019-02-17,2019-04-21,2024-02-17
SGP-EDGE-SWI-2978,SRL-E9C1BD83,SGP-EDGE,Manufacturing SCADA,Data Center Ops,Spare,HPE,Aruba 8400,Switch,2015-09-17,2015-09-15,2020-09-17
MEL-DR-SER-2979,SRL-91B558A1,MEL-DR,Manufacturing SCADA,Platform Engineering,RMA Pending,Supermicro,SYS-220U-TNR,Server,2019-02-19,2019-04-22,2022-02-19
LON-DC1-SWI-2980,SRL-2BCD3796,LON-DC1,Analytics Platform,Security Team,Decommission Planned,Cisco,Catalyst 9300-48P,Switch,2020-12-18,2021-01-18,2025-12-18
TOR-DC1-SWI-2981,SRL-6A8A8E1E,TOR-DC1,Security Monitoring,Security Team,Decommission Planned,Arista,7050X3-48C,Switch,2022-05-17,2022-06-23,2025-05-17
AMS-HQ-FIR-2982,SRL-2109DCC3,AMS-HQ,Analytics Platform,Data Center Ops,In Service,Palo Alto Networks,PA-5220,Firewall,2021-03-27,2021-05-24,2024-03-27
NYC-HQ-SWI-2983,SRL-291610AF,NYC-HQ,IoT Gateway,Network Team,Retiring,Cisco,Catalyst 9606R,Switch,2022-09-17,2022-09-18,2026-09-17
SFO-DC2-STO-2984,SRL-DA08986C,SFO-DC2,Email & Collaboration,Infra Ops,Lab,NetApp,FAS2750,Storage,2019-07-20,2019-09-12,2024-07-20
SYD-DC1-SER-2985,SRL-1685F26D,SYD-DC1,Email & Collaboration,Security Team,Spare,Dell,PowerEdge R650,Server,2022-12-05,2023-01-13,2027-12-05
AMS-HQ-SER-2986,SRL-8EB474C6,AMS-HQ,ERP Core,Platform Engineering,Retiring,Supermicro,SYS-220U-TNR,Server,2015-03-06,2015-04-15,2019-03-06
TOR-DC1-SWI-2987,SRL-0BBE5E5B,TOR-DC1,Online Payments,Network Team,RMA Pending,Arista,7050X3-48C,Switch,2020-05-28,2020-07-19,2025-05-28
AMS-HQ-ROU-2988,SRL-2CCE116E,AMS-HQ,Online Payments,Data Center Ops,Retiring,Juniper,MX204,Router,2022-08-19,2022-09-12,2027-08-19
SGP-EDGE-SWI-2989,SRL-CAC0D3DE,SGP-EDGE,ERP Core,Data Center Ops,Decommission Planned,Arista,7050X3-48C,Switch,2022-06-11,2022-07-16,2027-06-11
FRA-DC3-STO-2990,SRL-3EE9D2D2,FRA-DC3,ERP Core,Cloud Ops,Retiring,Dell,PowerStore 500,Storage,2015-08-24,2015-09-02,2019-08-24
FRA-DC3-SWI-2991,SRL-3A7A58D6,FRA-DC3,ERP Core,Infra Ops,Retiring,Cisco,Catalyst 9606R,Switch,2020-08-20,2020-08-09,2025-08-20
TOR-DC1-STO-2992,SRL-36412897,TOR-DC1,Security Monitoring,Infra Ops,Retiring,Dell,PowerStore 500,Storage,2021-03-13,2021-05-05,2024-03-13
FRA-DC3-SWI-2993,SRL-15F94BCE,FRA-DC3,Security Monitoring,Cloud Ops,Retiring,Arista,7280R3-48YC6,Switch,2021-04-17,2021-04-01,2024-04-17
SYD-DC1-SER-2994,SRL-CE81D345,SYD-DC1,Voice Core,Platform Engineering,In Service,Dell,PowerEdge R650,Server,2018-10-13,2018-10-08,2021-10-13
NYC-HQ-FIR-2995,SRL-1916BC38,NYC-HQ,Retail POS,Network Team,RMA Pending,Fortinet,FortiGate 100E,Firewall,2016-09-26,2016-11-17,2019-09-26
SFO-DC2-SER-2996,SRL-4C690842,SFO-DC2,Retail POS,Data Center Ops,Retiring,Supermicro,SYS-220U-TNR,Server,2021-11-26,2021-11-20,2026-11-26
SFO-DC2-SWI-2997,SRL-223E7525,SFO-DC2,Online Payments,Data Center Ops,Decommission Planned,Cisco,Catalyst 9300-48P,Switch,2021-07-23,2021-09-21,2024-07-23
NYC-HQ-SER-2998,SRL-8BE7CD3D,NYC-HQ,Online Payments,Platform Engineering,Retiring,Dell,PowerEdge R650,Server,2018-08-25,2018-08-25,2023-08-25
FRA-DC3-STO-2999,SRL-ECA75C75,FRA-DC3,Customer Portal,Platform Engineering,Retiring,Dell,PowerStore 500,Storage,2018-04-09,2018-06-24,2023-04-09
DAL-DC2-SWI-3000,SRL-AD89845C,DAL-DC2,Security Monitoring,Cloud Ops,Decommission Planned,Cisco,Nexus 93180YC-FX3,Switch,2018-12-11,2018-12-26,2022-12-11
AMS-HQ-STO-3001,SRL-8A072764,AMS-HQ,IoT Gateway,Platform Engineering,Retiring,Dell,PowerStore 500,Storage,2021-09-26,2021-10-06,2024-09-26
MEL-DR-SWI-3002,SRL-A636D8F9,MEL-DR,IoT Gateway,Data Center Ops,Decommission Planned,Cisco,Catalyst 9300-48P,Switch,2022-08-08,2022-08-02,2025-08-08
LON-DC1-FIR-3003,SRL-D3BD06FD,LON-DC1,ERP Core,Infra Ops,Lab,Fortinet,FortiGate 100E,Firewall,2015-11-28,2015-12-20,2019-11-28
SYD-DC1-SWI-3004,SRL-C03DA58A,SYD-DC1,IoT Gateway,Security Team,RMA Pending,Cisco,Catalyst 9606R,Switch,2023-08-20,2023-10-19,2028-08-20
LON-DC1-ROU-3005,SRL-9C91E59A,LON-DC1,Manufacturing SCADA,Infra Ops,RMA Pending,Juniper,MX204,Router,2019-01-10,2019-02-09,2024-01-10
FRA-DC3-FIR-3006,SRL-4EA0348C,FRA-DC3,Analytics Platform,Network Team,In Service,Fortinet,FortiGate 200F,Firewall,2016-05-16,2016-05-04,2021-05-16
NYC-HQ-FIR-3007,SRL-6A7A6A53,NYC-HQ,Customer Portal,Security Team,RMA Pending,Fortinet,FortiGate 100E,Firewall,2015-04-13,2015-06-03,2019-04-13
NYC-HQ-STO-3008,SRL-9969E5C6,NYC-HQ,IoT Gateway,Data Center Ops,Decommission Planned,NetApp,AFF A400,Storage,2016-12-02,2017-02-26,2021-12-02
AMS-HQ-STO-3009,SRL-C0CBAECC,AMS-HQ,Voice Core,Cloud Ops,Decommission Planned,NetApp,AFF A400,Storage,2015-03-08,2015-04-26,2020-03-08
SGP-EDGE-FIR-3010,SRL-71755E67,SGP-EDGE,IoT Gateway,Platform Engineering,Retiring,Fortinet,FortiGate 200F,Firewall,2019-07-16,2019-09-11,2023-07-16
SYD-DC1-SWI-3011,SRL-DEED4081,SYD-DC1,Analytics Platform,Platform Engineering,RMA Pending,Arista,7050X3-48C,Switch,2019-01-03,2019-03-08,2022-01-03
SFO-DC2-SWI-3012,SRL-C926CFA5,SFO-DC2,Retail POS,Infra Ops,Decommission Planned,HPE,Aruba 8400,Switch,2022-09-22,2022-10-28,2025-09-22
MEL-DR-SWI-3013,SRL-017AA092,MEL-DR,Retail POS,Platform Engineering,Lab,Arista,7280R3-48YC6,Switch,2017-10-23,2017-10-23,2022-10-23
AMS-HQ-FIR-3014,SRL-D7E84C2E,AMS-HQ,Analytics Platform,Network Team,Retiring,Palo Alto Networks,PA-5220,Firewall,2023-12-07,2023-12-21,2026-12-07
TOR-DC1-FIR-3015,SRL-77B2F542,TOR-DC1,ERP Core,Infra Ops,Retiring,Palo Alto Networks,PA-3220,Firewall,2019-11-06,2019-12-15,2022-11-06
SFO-DC2-FIR-3016,SRL-C82648ED,SFO-DC2,Security Monitoring,Network Team,Decommission Planned,Palo Alto Networks,PA-3220,Firewall,2016-09-12,2016-12-12,2021-09-12
SGP-EDGE-SWI-3017,SRL-DB88E87F,SGP-EDGE,Manufacturing SCADA,Security Team,Retiring,Arista,7050X3-48C,Switch,2021-01-15,2021-02-21,2025-01-15
SGP-EDGE-ROU-3018,SRL-82F1E15A,SGP-EDGE,Email & Collaboration,Platform Engineering,RMA Pending,Juniper,MX204,Router,2021-03-24,2021-03-21,2025-03-24
TOR-DC1-SWI-3019,SRL-EAEB2708,TOR-DC1,IoT Gateway,Cloud Ops,Lab,Cisco,Catalyst 9606R,Switch,2022-05-24,2022-07-24,2025-05-24
DAL-DC2-FIR-3020,SRL-D49D5F12,DAL-DC2,ERP Core,Platform Engineering,In Service,Fortinet,FortiGate 100E,Firewall,2015-03-06,2015-03-25,2020-03-06
NYC-HQ-SWI-3021,SRL-A0B49A58,NYC-HQ,Email & Collaboration,Cloud Ops,Retiring,Cisco,Catalyst 9606R,Switch,2019-02-08,2019-03-26,2023-02-08
AMS-HQ-STO-3022,SRL-87FF4E99,AMS-HQ,Email & Collaboration,Data Center Ops,In Service,NetApp,FAS2750,Storage,2019-09-07,2019-11-19,2023-09-07
SGP-EDGE-STO-3023,SRL-60B5AD58,SGP-EDGE,Online Payments,Data Center Ops,Spare,NetApp,FAS2750,Storage,2017-09-13,2017-10-01,2022-09-13
LON-DC1-SWI-3024,SRL-DBD70D82,LON-DC1,Analytics Platform,Network Team,Spare,Arista,7050X3-48C,Switch,2020-12-01,2021-02-24,2025-12-01
TOR-DC1-SER-3025,SRL-D4B14CB5,TOR-DC1,Email & Collaboration,Data Center Ops,Spare,Dell,PowerEdge R740,Server,2023-04-14,2023-05-14,2027-04-14
AMS-HQ-FIR-3026,SRL-03C35722,AMS-HQ,ERP Core,Cloud Ops,RMA Pending,Palo Alto Networks,PA-5220,Firewall,2021-07-14,2021-07-05,2024-07-14
SFO-DC2-SWI-3027,SRL-A07ECE0C,SFO-DC2,IoT Gateway,Data Center Ops,Decommission Planned,Juniper,QFX5120-48Y,Switch,2019-03-26,2019-03-12,2022-03-26
SFO-DC2-SWI-3028,SRL-C67074FD,SFO-DC2,Customer Portal,Data Center Ops,RMA Pending,Juniper,QFX5120-48Y,Switch,2019-10-19,2019-12-10,2022-10-19
NYC-HQ-SWI-3029,SRL-CBC226E3,NYC-HQ,Analytics Platform,Data Center Ops,Decommission Planned,Arista,7050X3-48C,Switch,2023-04-14,2023-06-26,2027-04-14
TOR-DC1-SWI-3030,SRL-733EC5DF,TOR-DC1,Online Payments,Network Team,Decommission Planned,Arista,7280R3-48YC6,Switch,2016-06-05,2016-07-23,2020-06-05
DAL-DC2-SWI-3031,SRL-B23D3DA2,DAL-DC2,ERP Core,Infra Ops,Lab,Cisco,Catalyst 9300-48P,Switch,2017-04-08,2017-05-04,2020-04-08
AMS-HQ-SWI-3032,SRL-9CB14BAB,AMS-HQ,Security Monitoring,Platform Engineering,Lab,Arista,7050X3-48C,Switch,2019-03-28,2019-04-28,2022-03-28
NYC-HQ-SER-3033,SRL-AE67FBC6,NYC-HQ,Manufacturing SCADA,Platform Engineering,Spare,Lenovo,ThinkSystem SR650,Server,2017-07-07,2017-07-25,2022-07-07
TOR-DC1-FIR-3034,SRL-8A97B08C,TOR-DC1,IoT Gateway,Data Center Ops,RMA Pending,Palo Alto Networks,PA-5220,Firewall,2020-06-19,2020-07-19,2025-06-19
SFO-DC2-FIR-3035,SRL-F648EC71,SFO-DC2,Voice Core,Data Center Ops,Decommission Planned,Palo Alto Networks,PA-5220,Firewall,2019-02-10,2019-04-09,2022-02-10
SYD-DC1-SWI-3036,SRL-F6BA35B3,SYD-DC1,Analytics Platform,Cloud Ops,Lab,Cisco,Catalyst 9300-48P,Switch,2017-12-26,2018-01-20,2021-12-26
NYC-HQ-ROU-3037,SRL-1D7B4D31,NYC-HQ,Analytics Platform,Infra Ops,Lab,Juniper,MX204,Router,2023-07-16,2023-07-16,2026-07-16
FRA-DC3-SWI-3038,SRL-CA693140,FRA-DC3,Manufacturing SCADA,Security Team,Retiring,Cisco,Catalyst 9300-48P,Switch,2019-08-25,2019-09-07,2022-08-25
NYC-HQ-FIR-3039,SRL-4FD4DB15,NYC-HQ,Security Monitoring,Infra Ops,Lab,Palo Alto Networks,PA-5220,Firewall,2016-06-22,2016-08-05,2020-06-22
TOR-DC1-SWI-3040,SRL-16B7C64E,TOR-DC1,Analytics Platform,Security Team,Lab,Cisco,Catalyst 9606R,Switch,2016-05-23,2016-07-20,2020-05-23
FRA-DC3-FIR-3041,SRL-33551040,FRA-DC3,Manufacturing SCADA,Platform Engineering,Retiring,Fortinet,FortiGate 100E,Firewall,2018-02-05,2018-02-16,2022-02-05
SYD-DC1-SWI-3042,SRL-E350F672,SYD-DC1,Retail POS,Infra Ops,Lab,Juniper,QFX5120-48Y,Switch,2022-08-21,2022-10-26,2026-08-21
NYC-HQ-SER-3043,SRL-4428420A,NYC-HQ,Manufacturing SCADA,Security Team,In Service,Supermicro,SYS-220U-TNR,Server,2020-09-02,2020-09-19,2023-09-02
FRA-DC3-FIR-3044,SRL-D3E112CF,FRA-DC3,Voice Core,Security Team,In Service,Fortinet,FortiGate 200F,Firewall,2018-10-03,2018-11-24,2021-10-03
